species,latitude,longitude
Amerotyphlops amoipira,-10.8,-42.8333
Amerotyphlops arenensis,-6.97,-35.7042
Amerotyphlops brongersmianus,-14.7889,-39.0494
Amerotyphlops minuisquamus,-3.9167,-73.65
Amerotyphlops paucisquamus,NA,NA
Amerotyphlops reticulatus,NA,NA
Amerotyphlops yonenagae,-11.1,-42.7333
Anilius scytale,NA,NA
Apostolepis adhara,-12.805267,-48.219942
Apostolepis albicollaris,-15.847477,-47.936375
Apostolepis ambiniger,NA,NA
Apostolepis ammodites,-10.2128,-48.3603
Apostolepis arenaria,-9.4833,-41.35
Apostolepis assimilis,-19.9833,-43.45
Apostolepis barrioi,-23.4666667,-56.5166667
Apostolepis borellii,-17.9221,-57.5521
Apostolepis cearensis,NA,NA
Apostolepis cerradoensis,-13.809817,-48.349107
Apostolepis christineae,-15.654,-57.214
Apostolepis dimidiata,NA,NA
Apostolepis flavotorquata,NA,NA
Apostolepis gaboi,-10.3967,-42.4858
Apostolepis goiasensis,-17.7981,-50.9281
Apostolepis intermedia,-20.2333,-56.3667
Apostolepis kikoi,-14.8811,-55.7781
Apostolepis lineata,-15.4702,-55.7321
Apostolepis longicaudata,-9.1122,-45.9222
Apostolepis mariae,-4.22122,-38.914229
Apostolepis nelsonjorgei,-13.809817,-48.349107
Apostolepis nigrolineata,NA,NA
Apostolepis nigroterminata,-8.3825,-74.5381
Apostolepis phillipsi,-14.7512,-60.3211
Apostolepis polylepis,-9.1122,-45.9222
Apostolepis quinquelineata,6.8,-58.0667
Apostolepis quirogai,-27.3671,-55.8961
Apostolepis roncadori,-12.85,-51.76666667
Apostolepis serrana,-12.85,-51.76666667
Apostolepis striata,-12.6137,-60.0881
Apostolepis tertulianobeui,-18.9186,-48.2772
Apostolepis thalesdelemai,-3.820555556,-40.90466667
Apostolepis vittata,-15.461,-55.7503
Atractus aboiporu,0.859444,-51.876111
Atractus albuquerquei,-2.4189,-48.1522
Atractus alphonsehogei,-1.213055556,-47.38833333
Atractus altagratiae,-7.2,-58.0667
Atractus badius,5.880381,-55.160408
Atractus boimirim,-8.75,-63.45
Atractus caete,-9.2322,-36.44127
Atractus caxiuana,-1.7092,-51.5292
Atractus collaris,-1.400625,-75.833611
Atractus dapsilis,-1.714333333,-56.409444
Atractus edioi,-13.53333333,-48.24166667
Atractus elaps,NA,NA
Atractus emmeli,-15.25,-68.26667
Atractus flammigerus,5.880381,-55.160408
Atractus francoi,-22.9056,-44.1393
Atractus guentheri,-15.675,-38.9472
Atractus hoogmoedi,-1.7464,-47.0594
Atractus insipidus,4.5167,-61.15
Atractus latifrons,-3.3333,-71.8167
Atractus maculatus,NA,NA
Atractus major,-1.6,-77.8
Atractus natans,-1.682,-51.395
Atractus pantostictus,-23.3217,-46.7269
Atractus paraguayensis,NA,NA 
Atractus poeppigi,NA,NA
Atractus potschi,-9.6658,-35.7353
Atractus reticulatus,-31.3653,-51.9783
Atractus riveroi,3.4167,-65.6667
Atractus ronnie,-4.1667,-38.9167
Atractus serranus,-23.7781,-46.3044
Atractus snethlageae,-1.7597,-46.545
Atractus spinalis,-19.2469,-43.5097
Atractus stygius,-12.49722222,-57.875
Atractus surucucu,2.7833,-63.6667
Atractus tartarus,-4.6667,-47.9333
Atractus thalesdelemai,-28.2333,-52.35
Atractus torquatus,5.8333,-55.17
