binomial,TaxonID,group,family,area
Ablepharus bivittatus,R06992,lizard,Scincidae,1124272.16228525
Ablepharus budaki,R06993,lizard,Scincidae,121183.37043079
Ablepharus chernovi,R06994,lizard,Scincidae,296008.88751338
Ablepharus darvazi,R06995,lizard,Scincidae,30666.05417208
Ablepharus deserti,R06996,lizard,Scincidae,889038.25975156
Ablepharus grayanus,R06997,lizard,Scincidae,230806.84485508
Ablepharus kitaibelii,R06998,lizard,Scincidae,713059.80535988
Ablepharus lindbergi,R06999,lizard,Scincidae,165921.70907050
Ablepharus pannonicus,R07000,lizard,Scincidae,2664130.26554540
Ablepharus rueppellii,R07001,lizard,Scincidae,46689.22697407
Abronia anzuetoi,R00667,lizard,Anguidae,40.25730866
Abronia aurita,R00668,lizard,Anguidae,4803.97834321
Abronia bogerti,R00669,lizard,Anguidae,1480.53426444
Abronia campbelli,R00670,lizard,Anguidae,124.21433128
Abronia chiszari,R00671,lizard,Anguidae,503.19110602
Abronia cuetzpali,R10247,lizard,Anguidae,609.03655865
Abronia deppii,R00672,lizard,Anguidae,4814.34117513
Abronia fimbriata,R00673,lizard,Anguidae,3088.49973293
Abronia frosti,R00674,lizard,Anguidae,9.99116483
Abronia fuscolabialis,R00675,lizard,Anguidae,1366.90999753
Abronia gaiophantasma,R00676,lizard,Anguidae,2954.08154280
Abronia graminea,R00677,lizard,Anguidae,8507.03372176
Abronia leurolepis,R00678,lizard,Anguidae,9.99116483
Abronia lythrochila,R00679,lizard,Anguidae,8427.51961769
Abronia martindelcampoi,R00680,lizard,Anguidae,1896.42585406
Abronia matudai,R00681,lizard,Anguidae,817.44522901
Abronia meledona,R00682,lizard,Anguidae,19.98232966
Abronia mitchelli,R00683,lizard,Anguidae,9.99116483
Abronia mixteca,R00684,lizard,Anguidae,7624.95253307
Abronia montecristoi,R00685,lizard,Anguidae,2239.43352390
Abronia oaxacae,R00686,lizard,Anguidae,6695.09780519
Abronia ochoterenai,R00687,lizard,Anguidae,9.99116483
Abronia ornelasi,R00688,lizard,Anguidae,9.99116483
Abronia ramirezi,R00689,lizard,Anguidae,9.99116483
Abronia reidi,R00690,lizard,Anguidae,19.98232967
Abronia salvadorensis,R00691,lizard,Anguidae,540.05072550
Abronia smithi,R00692,lizard,Anguidae,1998.01164476
Abronia taeniata,R00693,lizard,Anguidae,19138.70241394
Abronia vasconcelosii,R00694,lizard,Anguidae,4051.64359535
Acanthocercus adramitanus,R00030,lizard,Agamidae,236391.85191206
Acanthocercus annectans,R10248,lizard,Agamidae,458046.69461723
Acanthocercus atricollis,R00032,lizard,Agamidae,6072000.23995353
Acanthocercus branchi,R00033,lizard,Agamidae,182539.18330176
Acanthocercus cyanocephalus,R11154,lizard,Agamidae,2902.37603609
Acanthocercus cyanogaster,R00034,lizard,Agamidae,2095559.79908597
Acanthocercus gregorii,R11141,lizard,Agamidae,1238299.39222368
Acanthocercus guentherpetersi,R00035,lizard,Agamidae,2371.13782505
Acanthocercus kiwuensis,R11147,lizard,Agamidae,60373.49549796
Acanthocercus minutus,R11150,lizard,Agamidae,209777.75907996
Acanthocercus phillipsii,R00036,lizard,Agamidae,13775.87177670
Acanthocercus ugandaensis,R11143,lizard,Agamidae,124482.07121076
Acanthocercus yemensis,R00037,lizard,Agamidae,51564.01156811
Acanthochelys macrocephala,R09913,turtle,Chelidae,312372.29357357
Acanthochelys pallidipectoris,R09914,turtle,Chelidae,252986.39291157
Acanthochelys radiolata,R09915,turtle,Chelidae,205913.11825042
Acanthochelys spixii,R09916,turtle,Chelidae,461828.92489124
Acanthodactylus aegyptius,R05245,lizard,Lacertidae,242189.83401178
Acanthodactylus ahmaddisii,R05246,lizard,Lacertidae,9.99116483
Acanthodactylus arabicus,R05247,lizard,Lacertidae,126836.12309602
Acanthodactylus aureus,R05248,lizard,Lacertidae,271964.83732452
Acanthodactylus bedriagai,R05249,lizard,Lacertidae,192748.10611029
Acanthodactylus beershebensis,R05250,lizard,Lacertidae,3478.61528952
Acanthodactylus blanci,R05251,lizard,Lacertidae,129612.79037954
Acanthodactylus blanfordii,R05252,lizard,Lacertidae,934214.39717333
Acanthodactylus boskianus,R05253,lizard,Lacertidae,12634585.80000000
Acanthodactylus boueti,R05254,lizard,Lacertidae,333920.12780988
Acanthodactylus busacki,R05255,lizard,Lacertidae,206893.25843609
Acanthodactylus cantoris,R05256,lizard,Lacertidae,1416238.48254478
Acanthodactylus dumerilii,R05257,lizard,Lacertidae,1625494.88059028
Acanthodactylus erythrurus,R05258,lizard,Lacertidae,1030662.39359822
Acanthodactylus felicis,R05259,lizard,Lacertidae,146982.43282891
Acanthodactylus gongrorhynchatus,R05260,lizard,Lacertidae,132047.69479663
Acanthodactylus grandis,R05261,lizard,Lacertidae,949199.94237738
Acanthodactylus guineensis,R05262,lizard,Lacertidae,2108563.18471979
Acanthodactylus haasi,R05263,lizard,Lacertidae,513823.54723658
Acanthodactylus hardyi,R05264,lizard,Lacertidae,640580.36586592
Acanthodactylus harranensis,R05265,lizard,Lacertidae,4841.01352091
Acanthodactylus khamirensis,R05266,lizard,Lacertidae,19.98232966
Acanthodactylus longipes,R05268,lizard,Lacertidae,7831815.71917714
Acanthodactylus maculatus,R05269,lizard,Lacertidae,1194339.40072043
Acanthodactylus margaritae,R10249,lizard,Lacertidae,3930.52617907
Acanthodactylus masirae,R05270,lizard,Lacertidae,24774.23024279
Acanthodactylus micropholis,R05271,lizard,Lacertidae,566146.53889864
Acanthodactylus nilsoni,R05272,lizard,Lacertidae,206.97611372
Acanthodactylus opheodurus,R05273,lizard,Lacertidae,1708544.37866545
Acanthodactylus orientalis,R05274,lizard,Lacertidae,299841.60213632
Acanthodactylus pardalis,R05275,lizard,Lacertidae,179019.15829500
Acanthodactylus robustus,R05276,lizard,Lacertidae,191192.81478197
Acanthodactylus savignyi,R05277,lizard,Lacertidae,517238.13123615
Acanthodactylus schmidti,R05278,lizard,Lacertidae,2034773.47866264
Acanthodactylus schreiberi,R05279,lizard,Lacertidae,9272.67447376
Acanthodactylus scutellatus,R05280,lizard,Lacertidae,8730038.32741626
Acanthodactylus senegalensis,R05281,lizard,Lacertidae,1531951.17581704
Acanthodactylus spinicauda,R05282,lizard,Lacertidae,364.23428214
Acanthodactylus taghitensis,R05283,lizard,Lacertidae,328895.40980232
Acanthodactylus tilburyi,R05284,lizard,Lacertidae,133886.19393059
Acanthodactylus tristrami,R05285,lizard,Lacertidae,76448.49768583
Acanthodactylus yemenicus,R05286,lizard,Lacertidae,179395.08154119
Acanthophis antarcticus,R03377,snake,Elapidae,2981703.09018916
Acanthophis cryptamydros,R10250,snake,Elapidae,164484.21156037
Acanthophis hawkei,R03378,snake,Elapidae,19070.63633111
Acanthophis laevis,R03379,snake,Elapidae,556277.62224029
Acanthophis praelongus,R03380,snake,Elapidae,176739.05448419
Acanthophis pyrrhus,R03381,snake,Elapidae,3240816.28227958
Acanthophis rugosus,R03382,snake,Elapidae,746525.19572027
Acanthophis wellsi,R03383,snake,Elapidae,3142.65226228
Acanthosaura armata,R00038,lizard,Agamidae,194794.51972409
Acanthosaura bintangensis,R00039,lizard,Agamidae,9.99116483
Acanthosaura brachypoda,R00040,lizard,Agamidae,9.99116483
Acanthosaura capra,R00041,lizard,Agamidae,11351.15374223
Acanthosaura cardamomensis,R00042,lizard,Agamidae,10121.39972599
Acanthosaura coronata,R00043,lizard,Agamidae,34696.88437659
Acanthosaura crucigera,R00044,lizard,Agamidae,234222.39049631
Acanthosaura lepidogaster,R00045,lizard,Agamidae,2548748.90954173
Acanthosaura murphyi,R11157,lizard,Agamidae,75.17825487
Acanthosaura nataliae,R00046,lizard,Agamidae,56146.93250608
Acanthosaura phongdienensis,R11163,lizard,Agamidae,9.99116483
Acanthosaura phuketensis,R10251,lizard,Agamidae,12893.85039991
Acanthosaura titiwangsaensis,R00047,lizard,Agamidae,372.13572712
Achalinus ater,R09879,snake,Xenodermatidae,73206.72190253
Achalinus emilyae,R11655,snake,Xenodermatidae,19.98232966
Achalinus formosanus,R09880,snake,Xenodermatidae,36704.33751712
Achalinus hainanus,R09881,snake,Xenodermatidae,5057.67765819
