id,class,order,family,species,iucn,criteria,population,systems,realm
20,Reptilia,Squamata,Anguidae,Abronia montecristoi,EN,B1ab(iii),Decreasing,Terrestrial,Neotropical
75,Reptilia,Testudines,Chelidae,Acanthochelys pallidipectoris,EN,A2cde+3cde+4cde; C1+2a(i),Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical
76,Reptilia,Testudines,Chelidae,Acanthochelys spixii,LR_NT,,,Terrestrial|Freshwater (=Inland waters),Neotropical
78,Reptilia,Testudines,Chelidae,Acanthochelys radiolata,LR_NT,,,Terrestrial|Freshwater (=Inland waters),Neotropical
161,Reptilia,Squamata,Xenodermidae,Achalinus werneri,NT,B1a,Unknown,Terrestrial,Palearctic
282,Reptilia,Squamata,Boidae,Acrantophis dumerili,LC,,Stable,Terrestrial,Afrotropical
283,Reptilia,Squamata,Boidae,Acrantophis madagascariensis,LC,,Stable,Terrestrial,Afrotropical
521,Reptilia,Squamata,Dipsadidae,Adelphicos daryi,EN,B1ab(iii),Unknown,Terrestrial,Neotropical
612,Reptilia,Squamata,Gekkonidae,Afroedura hawequensis,LC,,Stable,Terrestrial,Afrotropical
840,Reptilia,Squamata,Lacertidae,Algyroides marchi,EN,"B1ab(iii,v)",Decreasing,Terrestrial,Palearctic
867,Reptilia,Crocodylia,Alligatoridae,Alligator sinensis,CR,"A1b; B1ab(ii,v)+2ab(ii,v); C1+2a(i)",Stable,Freshwater (=Inland waters),Indomalayan
939,Reptilia,Squamata,Dipsadidae,Alsophis antiguae,CR,B1ab(v),Increasing,Terrestrial,Neotropical
940,Reptilia,Squamata,Dipsadidae,Hypsirhynchus ater,CR,C2a(i); D,Decreasing,Terrestrial,Neotropical
941,Reptilia,Squamata,Dipsadidae,Alsophis rijgersmaei,EN,B1ab(iii),Decreasing,Terrestrial,Neotropical
942,Reptilia,Squamata,Dipsadidae,Alsophis rufiventris,VU,D2,Stable,Terrestrial,Neotropical
1086,Reptilia,Squamata,Iguanidae,Amblyrhynchus cristatus,VU,A2abce+4abce,Decreasing,Terrestrial|Marine,Neotropical
1118,Reptilia,Squamata,Teiidae,Pholidoscelis polops,EN,B2ab(iii),Unknown,Terrestrial,Neotropical
1119,Reptilia,Squamata,Teiidae,Pholidoscelis cineraceus,EX,,,Terrestrial,Neotropical
1120,Reptilia,Squamata,Teiidae,Pholidoscelis major,DD,,Unknown,Terrestrial,Neotropical
1181,Reptilia,Testudines,Trionychidae,Amyda cartilaginea,VU,A1cd+2cd,,Terrestrial|Freshwater (=Inland waters),Indomalayan
1319,Reptilia,Squamata,Anolidae,Anolis roosevelti,CR,D,Unknown,Terrestrial,Neotropical
1541,Reptilia,Squamata,Scincidae,Anomalopus mackayi,LC,,Decreasing,Terrestrial,Australasian
1555,Reptilia,Squamata,Anomochilidae,Anomochilus leonardi,LC,,Unknown,Terrestrial,Indomalayan
1920,Reptilia,Squamata,Pygopodidae,Aprasia aurita,NT,B2a,Stable,Terrestrial,Australasian
1921,Reptilia,Squamata,Pygopodidae,Aprasia pseudopulchella,LC,,Stable,Terrestrial,Australasian
2173,Reptilia,Testudines,Trionychidae,Nilssonia nigricans,CR,A4cd,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan
2174,Reptilia,Testudines,Trionychidae,Nilssonia leithii,CR,A2cd+4cd,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan
2176,Reptilia,Squamata,Pythonidae,Aspidites ramsayi,LC,,Unknown,Terrestrial,Australasian
2417,Reptilia,Squamata,Elapidae,Austrelaps labialis,LC,,Unknown,Terrestrial,Australasian
2593,Reptilia,Squamata,Scincidae,Barkudia insularis,CR,"B1ab(i,ii,iii)",Unknown,Terrestrial,Indomalayan
2817,Reptilia,Squamata,Viperidae,Bitis inornata,LC,,Stable,Terrestrial,Afrotropical
2818,Reptilia,Squamata,Viperidae,Bitis schneideri,LC,,Stable,Terrestrial,Afrotropical
2864,Reptilia,Squamata,Bolyeridae,Bolyeria multocarinata,EX,,,Terrestrial,Afrotropical
2917,Reptilia,Squamata,Viperidae,Bothrops insularis,CR,B1ab(v)+2ab(v),Decreasing,Terrestrial,Neotropical
2965,Reptilia,Squamata,Iguanidae,Brachylophus vitiensis,CR,A2abce,Decreasing,Terrestrial,Oceanian
3009,Reptilia,Squamata,Chamaeleonidae,Bradypodion nemorale,VU,D2,Stable,Terrestrial,Afrotropical
3012,Reptilia,Squamata,Chamaeleonidae,Bradypodion setaroi,NT,"B1b(i,iii)",Stable,Terrestrial,Afrotropical
3017,Reptilia,Squamata,Chamaeleonidae,Bradypodion thamnobates,EN,"B1ab(ii,iii,v)",Decreasing,Terrestrial,Afrotropical
3023,Reptilia,Squamata,Chamaeleonidae,Bradypodion taeniabronchum,LC,,Stable,Terrestrial,Afrotropical
