"query","RDB","status"
"Amerotyphlops amoipira","Amerotyphlops amoipira","up_to_date"
"Amerotyphlops arenensis","Amerotyphlops arenensis","up_to_date"
"Amerotyphlops brongersmianus","Amerotyphlops brongersmianus","up_to_date"
"Amerotyphlops minuisquamus","Amerotyphlops minuisquamus","up_to_date"
"Amerotyphlops paucisquamus","Amerotyphlops paucisquamus","up_to_date"
"Amerotyphlops reticulatus","Amerotyphlops reticulatus","up_to_date"
"Amerotyphlops yonenagae","Amerotyphlops yonenagae","up_to_date"
"Anilius scytale","Anilius scytale","up_to_date"
"Apostolepis adhara","Apostolepis adhara","up_to_date"
"Apostolepis albicollaris","Apostolepis albicollaris","up_to_date"
"Apostolepis arenaria","Apostolepis arenaria","up_to_date"
"Apostolepis assimilis","Apostolepis assimilis","up_to_date"
"Apostolepis borellii","Apostolepis borellii","up_to_date"
"Apostolepis cearensis","Apostolepis cearensis","up_to_date"
"Apostolepis christineae","Apostolepis christineae","up_to_date"
"Apostolepis dimidiata","Apostolepis dimidiata","up_to_date"
"Apostolepis flavotorquata","Apostolepis flavotorquata","up_to_date"
"Apostolepis gaboi","Apostolepis gaboi","up_to_date"
"Apostolepis goiasensis","Apostolepis goiasensis","up_to_date"
"Apostolepis intermedia","Apostolepis intermedia","up_to_date"
"Apostolepis kikoi","Apostolepis kikoi","up_to_date"
"Apostolepis lineata","Apostolepis lineata","up_to_date"
"Apostolepis longicaudata","Apostolepis longicaudata","up_to_date"
"Apostolepis nelsonjorgei","Apostolepis nelsonjorgei","up_to_date"
"Apostolepis nigrolineata","Apostolepis nigrolineata","up_to_date"
"Apostolepis nigroterminata","Apostolepis nigroterminata","up_to_date"
"Apostolepis polylepis","Apostolepis polylepis","up_to_date"
"Apostolepis quinquelineata","Apostolepis quinquelineata","up_to_date"
"Apostolepis quirogai","Apostolepis quirogai","up_to_date"
"Apostolepis serrana","Apostolepis serrana","up_to_date"
"Apostolepis striata","Apostolepis striata","up_to_date"
"Apostolepis thalesdelemai","Apostolepis thalesdelemai","up_to_date"
"Apostolepis vittata","Apostolepis vittata","up_to_date"
"Atractus aboiporu","Atractus aboiporu","up_to_date"
"Atractus albuquerquei","Atractus albuquerquei","checked"
"Atractus alphonsehogei","Atractus alphonsehogei","up_to_date"
"Atractus altagratiae","Atractus altagratiae","up_to_date"
"Atractus badius","Atractus akerios","check_split"
"Atractus boimirim","Atractus boimirim","up_to_date"
"Atractus caete","Atractus caete","up_to_date"
"Atractus caxiuana","Atractus caxiuana","up_to_date"
"Atractus collaris","Atractus collaris","up_to_date"
"Atractus dapsilis","Atractus dapsilis","up_to_date"
"Atractus edioi","Atractus edioi","up_to_date"
"Atractus elaps","Atractus elaps","up_to_date"
"Atractus emmeli","Atractus emmeli","up_to_date"
"Atractus flammigerus","Atractus flammigerus","checked"
"Atractus francoi","Atractus francoi","up_to_date"
"Atractus guentheri","Atractus guentheri","up_to_date"
"Atractus hoogmoedi","Atractus hoogmoedi","up_to_date"
"Atractus insipidus","Atractus insipidus","up_to_date"
"Atractus latifrons","Atractus latifrons","up_to_date"
"Atractus maculatus","Atractus maculatus","up_to_date"
"Atractus major","Atractus nawa","check_split"
"Atractus natans","Atractus natans","up_to_date"
"Atractus pantostictus","Atractus pantostictus","up_to_date"
"Atractus paraguayensis","Atractus paraguayensis","up_to_date"
"Atractus poeppigi","Atractus poeppigi","up_to_date"
"Atractus potschi","Atractus potschi","up_to_date"
"Atractus reticulatus","Atractus reticulatus","up_to_date"
"Atractus riveroi","Atractus riveroi","up_to_date"
"Atractus ronnie","Atractus ronnie","up_to_date"
"Atractus serranus","Atractus serranus","up_to_date"
"Atractus snethlageae","Atractus akerios; Atractus ukupacha","check_split"
"Atractus spinalis","Atractus spinalis","up_to_date"
"Atractus stygius","Atractus stygius","up_to_date"
"Atractus surucucu","Atractus surucucu","up_to_date"
"Atractus tartarus","Atractus tartarus","up_to_date"
"Atractus thalesdelemai","Atractus thalesdelemai","up_to_date"
"Atractus torquatus","Atractus torquatus","up_to_date"
"Atractus trefauti","Atractus trefauti","up_to_date"
"Atractus trihedrurus","Atractus trihedrurus","up_to_date"
"Atractus trilineatus","Atractus trilineatus","up_to_date"
"Atractus zebrinus","Atractus zebrinus","up_to_date"
"Atractus zidoki","Atractus zidoki","up_to_date"
"Boa constrictor","Boa constrictor","up_to_date"
"Boiruna maculata","Boiruna maculata","up_to_date"
"Boiruna sertaneja","Boiruna sertaneja","up_to_date"
"Bothrocophias hyoprora","Bothrocophias hyoprora","up_to_date"
"Bothrocophias microphthalmus","Bothrocophias myrringae; Bothrocophias tulitoi","check_split"
"Bothrops alcatraz","Bothrops alcatraz","up_to_date"
"Bothrops alternatus","Bothrops alternatus","up_to_date"
"Bothrops atrox","Bothrops atrox","up_to_date"
"Bothrops bilineatus","Bothrops bilineatus","up_to_date"
"Bothrops brazili","Bothrops oligobalius","check_split"
"Bothrops cotiara","Bothrops cotiara","up_to_date"
"Bothrops diporus","Bothrops diporus","up_to_date"
"Bothrops erythromelas","Bothrops erythromelas","up_to_date"
"Bothrops fonsecai","Bothrops fonsecai","up_to_date"
"Bothrops insularis","Bothrops insularis","up_to_date"
"Bothrops itapetiningae","Bothrops itapetiningae","up_to_date"
"Bothrops jararaca","Bothrops jararaca","up_to_date"
"Bothrops jararacussu","Bothrops jararacussu","up_to_date"
"Bothrops leucurus","Bothrops leucurus","up_to_date"
"Bothrops lutzi","Bothrops lutzi","up_to_date"
"Bothrops marajoensis","Bothrops marajoensis","up_to_date"
"Bothrops marmoratus","Bothrops marmoratus","up_to_date"
"Bothrops mattogrossensis","Bothrops monsignifer","check_split"
"Bothrops moojeni","Bothrops moojeni","up_to_date"
"Bothrops muriciensis","Bothrops muriciensis","up_to_date"
"Bothrops neuwiedi","Bothrops sonene","check_split"
"Bothrops otavioi","Bothrops otavioi","up_to_date"
"Bothrops pauloensis","Bothrops pauloensis","up_to_date"
"Bothrops pirajai","Bothrops pirajai","up_to_date"
"Bothrops pubescens","Bothrops pubescens","up_to_date"
"Bothrops sazimai","Bothrops sazimai","up_to_date"
"Bothrops taeniatus","Bothrops taeniatus","up_to_date"
"Caaeteboia amarali","Caaeteboia amarali","up_to_date"
"Calamodontophis paucidens","Calamodontophis paucidens","up_to_date"
"Calamodontophis ronaldoi","Calamodontophis ronaldoi","up_to_date"
"Cercophis auratus","Cercophis auratus","up_to_date"
"Chironius bicarinatus","Chironius dracomaris; Chironius gouveai","check_split"
"Chironius brazili","Chironius brazili","up_to_date"
"Chironius carinatus","Chironius dracomaris; Chironius gouveai; Chironius nigelnoriegai","check_split"
"Chironius diamantina","Chironius diamantina","up_to_date"
"Chironius exoletus","Chironius exoletus","up_to_date"
"Chironius flavolineatus","Chironius flavolineatus","up_to_date"
"Chironius foveatus","Chironius foveatus","up_to_date"
"Chironius fuscus","Chironius nigelnoriegai","check_split"
"Chironius laevicollis","Chironius laevicollis","up_to_date"
"Chironius maculoventris","Chironius maculoventris","up_to_date"
"Chironius multiventris","Chironius multiventris","up_to_date"
"Chironius quadricarinatus","Chironius quadricarinatus","up_to_date"
"Clelia clelia","Clelia clelia","up_to_date"
"Clelia hussami","Clelia hussami","up_to_date"
"Clelia plumbea","Clelia plumbea","up_to_date"
"Corallus batesii","Corallus batesii","up_to_date"
"Corallus caninus","Corallus caninus","up_to_date"
"Corallus cropanii","Corallus cropanii","up_to_date"
"Coronelaps lepidus","Coronelaps lepidus","up_to_date"
"Crotalus durissus","Crotalus durissus","up_to_date"
"Dendrophidion atlantica","Dendrophidion atlantica","up_to_date"
"Dendrophidion dendrophis","Dendrophidion dendrophis","up_to_date"
"Dipsas albifrons","Dipsas albifrons","up_to_date"
"Dipsas alternans","Dipsas alternans","up_to_date"
"Dipsas bucephala","Dipsas bucephala","up_to_date"
"Dipsas catesbyi","Dipsas catesbyi","up_to_date"
"Dipsas copei","Dipsas copei","up_to_date"
"Dipsas indica","Dipsas indica","up_to_date"
"Dipsas lavillai","Dipsas lavillai","up_to_date"
"Dipsas mikanii","Dipsas mikanii","up_to_date"
"Dipsas neuwiedi","Dipsas neuwiedi","up_to_date"
"Dipsas pavonina","Dipsas pavonina","up_to_date"
"Dipsas sazimai","Dipsas sazimai","up_to_date"
"Dipsas turgida","Dipsas turgida","up_to_date"
"Dipsas variegata","Dipsas variegata","up_to_date"
"Dipsas ventrimaculata","Dipsas ventrimaculata","up_to_date"
"Ditaxodon taeniatus","Ditaxodon taeniatus","up_to_date"
"Drepanoides anomalus","Drepanoides anomalus","up_to_date"
"Drymarchon corais","Drymarchon corais","up_to_date"
"Drymobius rhombifer","Drymobius rhombifer","up_to_date"
"Drymoluber brazili","Drymoluber brazili","up_to_date"
"Drymoluber dichrous","Drymoluber dichrous","up_to_date"
"Echinanthera cephalomaculata","Echinanthera cephalomaculata","up_to_date"
"Echinanthera cephalostriata","Echinanthera cephalostriata","up_to_date"
"Echinanthera cyanopleura","Echinanthera cyanopleura","up_to_date"
"Echinanthera melanostigma","Echinanthera melanostigma","up_to_date"
"Echinanthera undulata","Echinanthera undulata","up_to_date"
"Elapomorphus quinquelineatus","Elapomorphus quinquelineatus","up_to_date"
"Elapomorphus wuchereri","Elapomorphus wuchereri","up_to_date"
"Epicrates assisi","Epicrates assisi","up_to_date"
"Epicrates cenchria","Epicrates cenchria","up_to_date"
"Epicrates crassus","Epicrates crassus","up_to_date"
"Epicrates maurus","Epicrates maurus","up_to_date"
"Epictia albifrons","Epictia albifrons","up_to_date"
"Epictia borapeliotes","Epictia borapeliotes","up_to_date"
"Epictia clinorostris","Epictia clinorostris","up_to_date"
"Epictia munoai","Epictia munoai","up_to_date"
"Epictia striatula","Epictia striatula","up_to_date"
"Epictia vellardi","Epictia vellardi","up_to_date"
"Erythrolamprus aesculapii","Erythrolamprus aesculapii","up_to_date"
"Erythrolamprus almadensis","Erythrolamprus almadensis","up_to_date"
"Erythrolamprus atraventer","Erythrolamprus atraventer","up_to_date"
"Erythrolamprus breviceps","Erythrolamprus breviceps","up_to_date"
"Erythrolamprus carajasensis","Erythrolamprus carajasensis","up_to_date"
"Erythrolamprus dorsocorallinus","Erythrolamprus dorsocorallinus","up_to_date"
"Erythrolamprus frenatus","Erythrolamprus frenatus","up_to_date"
"Erythrolamprus jaegeri","Erythrolamprus jaegeri","up_to_date"
"Erythrolamprus macrosomus","Erythrolamprus macrosomus","up_to_date"
"Erythrolamprus maryellenae","Erythrolamprus maryellenae","up_to_date"
"Erythrolamprus miliaris","Erythrolamprus miliaris","up_to_date"
"Erythrolamprus mossoroensis","Erythrolamprus mossoroensis","up_to_date"
"Erythrolamprus oligolepis","Erythrolamprus oligolepis","up_to_date"
"Erythrolamprus poecilogyrus","Erythrolamprus aenigma","check_split"
"Erythrolamprus pygmaeus","Erythrolamprus pygmaeus","up_to_date"
"Erythrolamprus reginae","Erythrolamprus pseudoreginae","check_split"
"Erythrolamprus rochai","Erythrolamprus rochai","up_to_date"
"Erythrolamprus semiaureus","Erythrolamprus semiaureus","up_to_date"
"Erythrolamprus taeniogaster","Erythrolamprus taeniogaster","up_to_date"
"Erythrolamprus trebbaui","Erythrolamprus trebbaui","up_to_date"
"Erythrolamprus typhlus","Erythrolamprus typhlus","up_to_date"
"Erythrolamprus viridis","Erythrolamprus viridis","up_to_date"
"Eunectes deschauenseei","Eunectes deschauenseei","up_to_date"
"Eunectes murinus","Eunectes murinus","up_to_date"
"Eunectes notaeus","Eunectes notaeus","up_to_date"
