"query","RDB","status"
"Amphisbaena lumbricalis","Amphisbaena carvalhoi","updated"
"Amphisbaena spurelli","not_found","unknown"
"Blanus vandellii","Blanus oxyurus","updated"
"Agama bocourti","Agama agama","updated"
"Calotes vultuosus","Calotes versicolor","updated"
"Celestus fowleri","Celestus striatus","updated"
"Celestus hewardi","Celestus hewardii","updated"
"Gerrhonotus lugoi","Desertum lugoi","updated"
"Asaccus granularis","Asaccus ingae","updated"
"Asaccus nasrullahi","Asaccus griseonotus; Asaccus ingae","ambiguous"
"Asaccus tangestanensis","Asaccus iranicus","updated"
"Cnemaspis boulengeri","Cnemaspis boulengerii","updated"
"Crossobamon orientalis","Bunopus orientalis","updated"
"Cyrtodactylus markuscombaii","Cyrtodactylus martinstolli","updated"
"Cyrtodactylus paradoxus","Cyrtodactylus condorensis","updated"
"Cyrtodactylus rufford","Cyrtodactylus lomyenensis","updated"
"Cyrtodactylus thochuensis","Cyrtodactylus leegrismeri","updated"
"Garthia penai","Garthia gaudichaudii","updated"
"Hemidactylus flavicauda","Hemidactylus flavicaudus","updated"
"Homopholis walbergii","Homopholis wahlbergii","updated"
"Kolekanos plumicauda","Kolekanos plumicaudus","updated"
"Lepidodactylus planicauda","not_found","unknown"
"Nactus allenallisoni","Nactus multicarinatus","duplicated"
"Nactus alotau","Nactus multicarinatus","duplicated"
"Nactus notios","Nactus erugatus","updated"
"Nactus papua","Nactus heteronotus","updated"
"Nactus robertfisheri","Nactus multicarinatus","duplicated"
"Nebulifera robusta","Amalosia robusta","updated"
"Phelsuma vnigra","not_found","unknown"
"Pholidoscelis maynardi","Pholidoscelis maynardii","updated"
"Pholidoscelis turukaeraensis","not_found","unknown"
"Proctoporus cephalolineatus","Oreosaurus cephalolineatus","updated"
"Pseuderemias striatus","Pseuderemias striata","updated"
"Riama inanis","Oreosaurus inanis","updated"
"Anolis dominicensis","Anolis distichus","duplicated"
"Anolis favillarum","Anolis distichus","duplicated"
"Anolis ignigularis","Anolis distichus","duplicated"
